Organisms,Cancer Types
Gorilla gorilla,childhood central nervous system germ cell tumor
,pulmonary inflammatory myofibroblastic tumor 
,pulmonary inflammatory myofibroblastic tumor
,childhood extracranial germ cell tumor
,paranasal sinus and nasal cavity cancer
,primary central nervous system lymphoma
,gastrointestinal neuroendocrine tumor
,multiple endocrine neoplasia syndromes
,multiple endocrine neoplasia syndrome
,chronic myeloproliferative neoplasms
,undifferentiated pleomorphic sarcoma
,gestational trophoblastic neoplasia
,gestational trophoblastic disease
,diffuse intrinsic pontine glioma
,pancreatic neuroendocrine tumor
,gastrointestinal stromal tumors
,metastatic squamous neck cancer
,malignant fibrous histiocytoma
,solid pseudopapillary neoplasm
,chronic myelogenous leukemia 
,langerhans cell histiocytosis
,acute lymphoblastic leukemia
,carcinoma of unknown primary
,chronic lymphocytic leukemia
,chronic myelogenous leukemia
,extracranial germ cell tumor
,extragonadal germ cell tumor
,myeloproliferative neoplasm
,pagets disease of the breast
,pregnancy and breast cancer
,childhood rhabdomyosarcoma
,extramammary paget disease
,lip and oral cavity cancer
,non-small cell lung cancer
,childhood vascular tumors
,cutaneous t-cell lymphoma
,myelodysplastic syndrome
,primary peritoneal cancer
,adrenocortical carcinoma
,childhood cardiac tumor
,ovarian germ cell tumor
,pleuropulmonary blastoma
,transitional cell cancer
,gastrointestinal cancer
,"heart tumors, childhood"
,midline tract carcinoma
