Organisms,Cancer Types
Acinonyx jubatus,childhood central nervous system germ cell tumor
Acomys cahirinus,pulmonary inflammatory myofibroblastic tumor 
Ailuropoda melanoleuca,pulmonary inflammatory myofibroblastic tumor
Ailurus fulgens,childhood extracranial germ cell tumor
Allactaga bullata,paranasal sinus and nasal cavity cancer
Alouatta palliata mexicana,primary central nervous system lymphoma
Ammotragus lervia,gastrointestinal neuroendocrine tumor
Anoura caudifer,multiple endocrine neoplasia syndromes
Antilocapra americana,multiple endocrine neoplasia syndrome
Aotus nancymaae,chronic myeloproliferative neoplasms
Aplodontia rufa,undifferentiated pleomorphic sarcoma
Artibeus jamaicensis,gestational trophoblastic neoplasia
Ateles geoffroyi,gestational trophoblastic disease
Balaenoptera acutorostrata,diffuse intrinsic pontine glioma
Balaenoptera bonaerensis,pancreatic neuroendocrine tumor
Beatragus hunteri,gastrointestinal stromal tumors
Bison bison,metastatic squamous neck cancer
Bos indicus,malignant fibrous histiocytoma
Bos mutus,solid pseudopapillary neoplasm
Bos taurus,chronic myelogenous leukemia 
Bubalus bubalis,langerhans cell histiocytosis
Callicebus donacophilus,acute lymphoblastic leukemia
Callithrix jacchus,carcinoma of unknown primary
Camelus bactrianus,chronic lymphocytic leukemia
Camelus dromedarius,chronic myelogenous leukemia
Camelus ferus,extracranial germ cell tumor
Canis lupus familiaris,extragonadal germ cell tumor
Capra aegagrus,myeloproliferative neoplasm
Capra hircus,pagets disease of the breast
Capromys pilorides,pregnancy and breast cancer
Carollia perspicillata,childhood rhabdomyosarcoma
Castor canadensis,extramammary paget disease
Catagonus wagneri,lip and oral cavity cancer
Cavia aperea,non-small cell lung cancer
Cavia porcellus,childhood vascular tumors
Cavia tschudii,cutaneous t-cell lymphoma
Cebus albifrons,myelodysplastic syndrome
Cebus capucinus,primary peritoneal cancer
Ceratotherium simum,adrenocortical carcinoma
Ceratotherium simum cottoni,childhood cardiac tumor
Cercocebus atys,ovarian germ cell tumor
Cercopithecus neglectus,pleuropulmonary blastoma
Chaetophractus vellerosus,transitional cell cancer
Cheirogaleus medius,gastrointestinal cancer
Chinchilla lanigera,"heart tumors, childhood"
Chlorocebus sabaeus,midline tract carcinoma
Choloepus didactylus,squamous cell carcinoma
Choloepus hoffmanni,acute myeloid leukemia
Chrysochloris asiatica,malignant mesothelioma
Colobus angolensis,merkel cell carcinoma 
Condylura cristata,paranasal sinus cancer
Craseonycteris thonglongyai,small cell lung cancer
Cricetomys gambianus,small intestine cancer
Cricetulus griseus,tracheobronchial tumor
Crocidura indochinensis,esthesioneuroblastoma
Cryptoprocta ferox,fallopian tube cancer
Ctenodactylus gundi,hepatocellular cancer
Ctenomys sociabilis,hypopharyngeal cancer
Cuniculus paca,nasopharyngeal cancer
Dasyprocta punctata,neuroendocrine tumor
Dasypus novemcinctus,salivary gland cancer
Daubentonia madagascariensis,basal cell carcinoma
Delphinapterus leucas,ganglioneuroblastoma
Desmodus rotundus,head and neck cancer
Dicerorhinus sumatrensis,histiocytic neoplasm
Diceros bicornis,intraocular melanoma
Dinomys branickii,non-hodgkin lymphoma
Dipodomys ordii,oropharyngeal cancer
Dipodomys stephensi,plasma cell neoplasm
Dolichotis patagonum,squamous neck cancer
Echinops telfairi,endometrial cancer 
Eidolon helvum,hairy cell leukemia
Elaphurus davidianus,nasal cavity cancer
Elephantulus edwardii,soft tissue sarcoma
Ellobius lutescens,cholangiocarcinoma
Ellobius talpinus,cystadenocarcinoma
Enhydra lutris,extraosseous ewing
Eptesicus fuscus,gallbladder cancer
Equus asinus,hidradenocarcinoma
Equus caballus,lymphoid neoplasm
Equus przewalskii,male breast cancer
Erinaceus europaeus,medulloepithelioma
Erythrocebus patas,parathyroid cancer
Eschrichtius robustus,atypical teratoid
Eubalaena japonica,colorectal cancer
Eulemur flavifrons,craniopharyngioma
Eulemur fulvus,esophageal cancer
Felis catus,laryngeal cancer 
Felis nigripes,metastatic cancer
Fukomys damarensis,mycosis fungoides
Galeopterus variegatus,oligodendroglioma
Giraffa tippelskirchi,pancreatic cancer
Glis glis,pancreatoblastoma
Gorilla gorilla,pharyngeal cancer
Graphiurus murinus,renal cell cancer
Helogale parvula,testicular cancer
Hemitragus hylocrius,thymoma carcinoma
Heterocephalus glaber,bile duct cancer
Heterohyrax brucei,burkitt lymphoma
Hippopotamus amphibius,childhood cancer
Hipposideros armiger,ductal carcinoma
Hipposideros galeritus,hodgkin lymphoma
Hyaena hyaena,islet cell tumor
Hydrochoerus hydrochaeris,multiple myeloma
Hystrix cristata,oligoastrocytoma
Ictidomys tridecemlineatus,pheochromocytoma
Indri indri,recurrent cancer
Inia geoffrensis,rhabdomyosarcoma
Jaculus jaculus,thymic carcinoma
Kogia breviceps,appendix cancer
Lasiurus borealis,bronchial tumor
Lemur catta,cervical cancer
Leptonychotes weddellii,choriocarcinoma
Lepus americanus,embryonal tumor
Lipotes vexillifer,germ cell tumor
Loxodonta Africana,kaposi sarcoma 
Lycaon pictus,medulloblastoma
Macaca fascicularis,pituitary tumor
Macaca mulatta,prostate cancer
Macaca nemestrina,sezary syndrome
Macroglossus sobrinus,urethral cancer
Mandrillus leucophaeus,uterine sarcoma
Manis javanica,adenocarcinoma
Manis pentadactyla,bladder cancer
Marmota marmota,ewing sarcoma 
Megaderma lyra,gastric cancer
Mellivora capensis,hepatoblastoma
Meriones unguiculatus,kaposi sarcoma
Mesocricetus auratus,nephroblastoma
Mesoplodon bidens,ovarian cancer
Microcebus murinus,papillomatosis
Microgale talazaci,retinoblastoma
Micronycteris hirsuta,rhabdoid tumor
Microtus ochrogaster,stomach cancer
Miniopterus natalensis,thyroid cancer
Miniopterus schreibersii,uterine cancer
Mirounga angustirostris,vaginal cancer
Mirza coquereli,vascular tumor
Monodon monoceros,astroblastoma
Mormoops blainvillei,breast cancer
Moschus moschiferus,histiocytosis
Mungos mungo,kidney cancer
Murina feae,lymphoblastic
Mus caroli,neuroblastoma
Mus pahari,paraganglioma
Mus spretus,penile cancer
Muscardinus avellanarius,porocarcinoma
Mustela putorius,rectal cancer
Myocastor coypus,throat cancer
Myotis brandtii,vulvar cancer
Myotis davidii,brain cancer
Myotis lucifugus,fibrosarcoma
Myotis myotis,glioblastoma
Myrmecophaga tridactyla,histiocytoma
Nannospalax galili,liver cancer
Nasalis larvatus,mesothelioma
Neomonachus schauinslandi,mouth cancer
Neophocaena asiaeorientalis,osteosarcoma
Noctilio leporinus,anal cancer
Nomascus leucogenys,astrocytoma
Nycticebus coucang,brain tumor
Ochotona princeps,hidradenoma
Octodon degus,lung cancer
Odobenus rosmarus,oral cancer
Odocoileus virginianus,skin cancer
Okapia johnstoni,spiradenoma
Ondatra zibethicus,wilms tumor
Onychomys torridus,ependymoma
Orcinus orca,eye cancer
Orycteropus afer,meningioma
Oryctolagus cuniculus,carcinoid
Otolemur garnettii,carcinoma
Ovis aries,blastoma
Ovis canadensis cremnobates,chordoma
Pan paniscus,leukemia
Pan troglodytes,lymphoma
Panthera onca,melanoma
Panthera pardus,seminoma
Panthera tigris,teratoma
Pantholops hodgsonii,adenoma
Papio anubis,myeloma
Paradoxurus hermaphroditus,sarcoma
Perognathus longimembris,thymoma
Peromyscus maniculatus,glioma
Petromus typicus,poroma
Phocoena phocoena,tumor*
Piliocolobus tephrosceles,onco*
Pipistrellus pipistrellus,cancer*
Pithecia pithecia,
Platanista gangetica,
Pongo abelii,
Procavia capensis,
Propithecus coquereli,
Psammomys obesus,
Pteronotus parnellii,
Pteronura brasiliensis,
Pteropus alecto,
Pteropus vampyrus,
Puma concolor,
Pygathrix nemaeus,
Rangifer tarandus,
Rattus norvegicus,
Rhinolophus sinicus,
Rhinopithecus bieti,
Rhinopithecus roxellana,
Rousettus aegyptiacus,
Saguinus imperator,
Saiga tatarica,
Saimiri boliviensis,
Scalopus aquaticus,
Semnopithecus entellus,
Sigmodon hispidus,
Solenodon paradoxus,
Sorex araneus,
Spermophilus_dauricus,
Spilogale gracilis,
Suricata suricatta,
Sus scrofa,
Tadarida brasiliensis,
Tamandua tetradactyla,
Tapirus indicus,
Tapirus terrestris,
Thryonomys swinderianus,
Tolypeutes matacus,
Tonatia saurophila,
Tragulus javanicus,
Trichechus manatus,
Tupaia chinensis,
Tupaia tana,
Tursiops truncatus,
Uropsilus gracilis,
Ursus maritimus,
Vicugna pacos,
Vulpes lagopus,
Xerus inauris,
Zalophus californianus,
Zapus hudsonius,
Ziphius cavirostris,
